timestamp,,roll_input,pitch_input,measure_roll,measure_pitch
414606,0,0,0,3.316983768,-5.470246856
414606,0,0,0,3.316983768,-5.470246856
414626,20,0,0,3.338475628,-5.427716523
414636,30,0,0,3.445750921,-5.940772758
414646,40,0,0,3.355260199,-5.772618798
414657,51,0,0,3.228879254,-5.879271159
414667,61,0,0,3.259581172,-6.139437324
414677,71,0,0,3.274569116,-6.20357004
414687,81,0,0,3.145672192,-6.040588544
414697,91,0,0,3.157533409,-5.958549996
414707,101,0,0,3.267094764,-6.009903298
414717,111,0,0,3.278704023,-5.803357704
414727,121,0,0,3.179423063,-5.793783867
414738,132,0,0,3.151023419,-5.894135292
414738,132,0,0,3.151023419,-5.894135292
414768,162,0,0,3.17607461,-5.795387174
414778,172,0,0,3.187405731,-5.713133697
414788,182,0,0,3.173076863,-5.763609832
414798,192,0,0,3.226514912,-5.702930293
414809,203,0,0,3.206208951,-5.498461257
414819,213,0,0,3.261646606,-5.551426307
414839,233,0,0,3.201934552,-5.527455254
414839,233,0,0,3.201934552,-5.527455254
414839,233,0,0,3.201934552,-5.527455254
414869,263,0,0,3.353257125,-5.675491405
414880,274,0,0,3.227559357,-5.6174856
414890,284,0,0,3.242583198,-5.601420857
414900,294,0,0,3.297697767,-5.653654775
414910,304,0,0,3.210300478,-5.636198039
414920,314,0,0,3.296448841,-5.714139076
414930,324,0,0,3.346413236,-5.866850703
414940,334,0,0,3.330628989,-6.040582782
414950,344,0,0,3.285787753,-5.846194329
414961,355,0,0,3.274570049,-5.790086603
414971,365,0,0,3.369363409,-5.971041643
414981,375,0,0,3.402174457,-6.046747696
414991,385,0,0,3.432082479,-5.995786132
415001,395,0,0,3.353982882,-6.08261045
415021,415,0,0,3.337653931,-6.100311658
415021,415,0,0,3.337653931,-6.100311658
415032,426,0,0,3.34395007,-6.076570737
415042,436,0,0,3.384847585,-6.082373055
415052,446,0,0,3.341409644,-6.000395026
415062,456,0,0,3.36098079,-5.79825517
415072,466,0,0,3.345571263,-5.677210687
415092,486,0,0,3.297115913,-5.696907375
415102,496,0,0,3.479538271,-5.919489217
415113,507,0,0,3.417396854,-5.993625726
415123,517,0,0,3.420799014,-6.141230657
415133,527,0,0,3.431123527,-6.102412563
415143,537,0,0,3.403807095,-6.063374875
415153,547,0,0,3.445685312,-6.08556522
415163,557,0,0,3.464713503,-5.994686916
415173,567,0,0,3.37491836,-5.884684317
415184,578,0,0,3.382308362,-5.859858414
415194,588,0,0,3.389535163,-5.947673899
415204,598,0,0,3.405983532,-6.006817585
415204,598,0,0,3.405983532,-6.006817585
415224,618,0,0,3.356371773,-5.885557523
415234,628,0,0,3.417434342,-5.801581602
415244,638,0,0,3.416267441,-5.785820382
415255,649,0,0,3.466643569,-5.676648725
415275,669,0,0,3.417902539,-5.948746521
415275,669,0,0,3.417902539,-5.948746521
415275,669,0,0,3.417902539,-5.948746521
415305,699,0,0,3.307482564,-5.893886459
415305,699,0,0,3.307482564,-5.893886459
415325,719,0,0,3.336515121,-5.843333
415336,730,0,0,3.479309402,-5.795913548
415336,730,0,0,3.479309402,-5.795913548
415346,740,0,0,3.295498494,-5.703951777
415366,760,0,0,3.312256998,-5.919920087
415366,760,0,0,3.312256998,-5.919920087
415376,770,0,0,3.326910358,-6.042912766
415386,780,0,0,3.327657283,-6.059965046
415396,790,0,0,3.254655524,-6.10508394
415417,811,0,0,3.350721137,-6.223534582
415427,821,0,0,3.310226074,-6.347834474
415437,831,0,0,3.271363886,-6.311399142
415457,851,0,0,3.220206639,-6.297976064
415467,861,0,0,3.279149142,-6.319587126
415477,871,0,0,3.289569088,-6.220923702
415488,882,0,0,3.226879554,-6.150492466
415508,902,0,0,3.298477581,-6.122450516
415508,902,0,0,3.298477581,-6.122450516
415528,922,0,0,3.257441106,-5.997614706
415538,932,0,0,3.282864236,-5.741056946
415538,932,0,0,3.282864236,-5.741056946
415559,953,0,0,3.292404667,-5.61068175
415569,963,0,0,3.471183362,-5.880085606
415579,973,0,0,3.408350264,-5.827276884
415589,983,0,0,3.288455192,-5.908588546
415599,993,0,0,3.316524945,-5.981533372
415619,1013,0,0,3.430838593,-5.975326567
415630,1024,0,0,3.391102108,-5.862871884
415640,1034,0,0,3.392695111,-5.879481971
415640,1034,0,0,3.392695111,-5.879481971
415660,1054,0,0,3.345566205,-5.824015955
415670,1064,0,0,3.246952024,-5.814394541
415680,1074,0,0,3.188176984,-5.809569498
415690,1084,0,0,3.226979545,-5.783262278
415700,1094,0,0,3.291819209,-5.78030452
415711,1105,0,0,3.247500669,-5.725011795
415721,1115,0,0,3.319194923,-5.636746145
415731,1125,0,0,3.283322657,-5.650156476
415741,1135,0,0,3.299851912,-5.666137354
415751,1145,0,0,3.337450432,-5.607276976
415761,1155,0,0,3.301760739,-5.545924196
415771,1165,0,0,3.315346756,-5.652475622
415771,1165,0,0,3.315346756,-5.652475622
415792,1186,0,0,3.298534517,-5.654573686
