timestamp,,roll_input,pitch_input,measure_roll,measure_pitch
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043472,1287,0,0,3.219749732,-5.800572613
2043695,1510,0,0,3.089827651,-5.789534895
2043706,1521,0,0,3.129488281,-5.777865072
2043716,1531,0,0,3.118024467,-5.711532925
2043726,1541,0,0,3.166502301,-5.856783908
2043736,1551,0,0,3.200227649,-5.962751867
2043746,1561,0,0,3.118789647,-5.98595549
2043756,1571,0,0,3.120520126,-5.912240512
2043766,1581,0,0,3.191580031,-5.881643081
2043777,1592,0,0,3.221359758,-5.846945373
2043787,1602,0,0,3.162588121,-5.950466639
2043797,1612,0,0,3.149942889,-5.974853023
2043807,1622,0,0,3.248544579,-6.009701655
2043817,1632,0,0,3.194851121,-6.072510881
2043827,1642,0,0,3.185715281,-6.065592025
2043847,1662,0,0,3.179085843,-6.304247733
2043858,1673,0,0,3.164880699,-6.339586088
2043868,1683,0,0,3.172319062,-6.411396682
2043878,1693,0,0,3.152787676,-6.316385473
2043888,1703,0,0,3.076759694,-6.207114498
2043898,1713,0,0,3.066139461,-6.3959427
2043908,1723,0,0,3.102749088,-6.454008836
2043908,1723,0,0,3.102749088,-6.454008836
2043929,1744,0,0,3.188985226,-6.37801473
2043939,1754,0,0,3.307457699,-6.673900862
2043939,1754,0,0,3.307457699,-6.673900862
2043959,1774,0,0,3.151103837,-6.473270354
2043969,1784,0,0,3.121590305,-6.525413461
2043979,1794,0,0,3.152690258,-6.507069165
2043989,1804,0,0,3.183424615,-6.595326343
2044010,1825,0,0,3.181058572,-6.579308412
2044010,1825,0,0,3.181058572,-6.579308412
2044020,1835,0,0,3.203074349,-6.527322322
2044030,1845,0,0,3.219700538,-6.370968476
2044040,1855,0,0,3.300783884,-6.257353851
2044050,1865,0,0,3.36421774,-6.327191852
2044060,1875,0,0,3.250419943,-6.262279718
2044070,1885,0,0,3.35123033,-6.089441941
2044081,1896,0,0,3.237663084,-6.23885892
2044091,1906,0,0,3.327271471,-6.000070098
2044111,1926,0,0,3.142584169,-5.919374011
2044121,1936,0,0,3.288203719,-5.692920538
2044131,1946,0,0,3.200677749,-5.346035873
2044141,1956,0,0,2.614188989,-5.387757067
2044141,1956,0,0,2.614188989,-5.387757067
2044162,1977,0,0,2.940852657,-5.727702078
2044172,1987,0,0,3.586362732,-6.137585218
2044182,1997,0,0,3.371110566,-6.559301142
2044192,2007,0,0,3.399483588,-6.949297134
2044202,2017,0,0,3.285495843,-7.142541593
2044212,2027,0,0,3.319526791,-6.850950505
2044233,2048,0,0,3.171079123,-6.453067806
2044233,2048,0,0,3.171079123,-6.453067806
2044253,2068,0,0,3.073916381,-6.795722691
2044263,2078,0,0,3.431318578,-6.459535117
2044273,2088,0,0,2.855511137,-6.521721481
2044273,2088,0,0,2.855511137,-6.521721481
2044293,2108,0,0,2.831592819,-6.162308538
2044304,2119,0,0,2.870231542,-5.954629276
2044304,2119,0,0,2.870231542,-5.954629276
2044324,2139,0,0,2.782572121,-5.964232381
2044334,2149,0,0,2.805563983,-6.079178603
2044344,2159,0,0,2.568566806,-6.048993585
2044354,2169,0,0,2.707281937,-6.154197927
2044364,2179,0,0,2.564471703,-6.141778109
2044375,2190,0,0,2.536566855,-5.67389995
2044375,2190,0,0,2.536566855,-5.67389995
2044395,2210,0,0,2.620886413,-5.47500346
2044405,2220,0,0,2.608818185,-5.546818761
2044415,2230,0,0,2.661860785,-5.282662474
2044425,2240,0,0,2.574641577,-5.208480345
2044445,2260,0,0,2.644871325,-5.660635313
2044456,2271,0,0,2.453939484,-5.953614249
2044466,2281,0,0,2.638845334,-6.145526152
2044476,2291,0,0,2.606977365,-6.297229003
2044486,2301,0,0,2.847052493,-6.620469749
2044496,2311,0,0,2.704857752,-6.595535136
2044506,2321,0,0,2.870249772,-6.416910968
2044516,2331,0,0,2.702282037,-6.291047341
2044527,2342,0,0,2.796771342,-6.053713556
2044537,2352,0,0,2.642440973,-6.001157802
2044547,2362,0,0,2.829285307,-5.661657874
2044557,2372,0,0,2.714359589,-5.30375476
2044567,2382,0,0,2.670736394,-5.071069956
2044578,2393,0,0,2.691090231,-5.226929256
2044597,2412,0,0,2.722567892,-5.359092071
2044608,2423,0,0,2.848982745,-5.314973277
2044608,2423,0,0,2.848982745,-5.314973277
2044628,2443,0,0,2.748015029,-5.568119468
2044638,2453,0,0,2.560892056,-5.883492012
2044648,2463,0,0,2.738020313,-5.693652953
2044658,2473,0,0,2.776669588,-5.742360663
2044668,2483,0,0,2.671750747,-5.881825094
2044679,2494,0,0,2.765393787,-5.627021949
2044689,2504,0,0,2.711933577,-5.448636553
2044699,2514,0,0,2.601562506,-5.444104624
2044699,2514,0,0,2.601562506,-5.444104624
2044719,2534,0,0,2.46330054,-5.617186225
2044729,2544,0,0,2.704403976,-5.535081307
2044750,2565,0,0,2.141642966,-5.868997941
2044760,2575,0,0,2.422778021,-6.108258953
2044760,2575,0,0,2.422778021,-6.108258953
2044770,2585,0,0,2.343327995,-6.230298722
2044790,2605,0,0,2.43889748,-6.340826681
2044800,2615,0,0,2.51291476,-6.236257186
2044810,2625,0,0,2.519963054,-5.922231123
2044820,2635,0,0,2.562977372,-5.730682596
2044831,2646,0,0,2.568546095,-5.599020164
2044841,2656,0,0,2.590696091,-5.520480908
2044841,2656,0,0,2.590696091,-5.520480908
2044861,2676,0,0,2.623716764,-5.440131013
2044871,2686,0,0,3.129158027,-4.700343289
2044881,2696,0,0,2.759452062,-4.827273686
2044891,2706,0,0,2.994974318,-4.876714917
2044902,2717,0,0,2.954096094,-5.433241716
2044912,2727,0,0,2.9394127,-5.318529456
2044932,2747,0,0,2.97899505,-5.43078415
2044942,2757,0,0,3.002807247,-5.634851958
2044952,2767,0,0,2.971702711,-5.671087854
2044962,2777,0,0,2.902616737,-5.536988987
2044972,2787,0,0,2.99409584,-5.357244805
2044983,2798,0,0,2.990979182,-5.325659139
2044993,2808,0,0,2.931462969,-5.187858434
2045003,2818,0,0,2.988693763,-5.219951447
2045013,2828,0,0,2.91490586,-5.234159149
2045023,2838,0,0,2.990315916,-5.586522906
2045033,2848,0,0,2.995533811,-5.639488985
2045043,2858,0,0,2.951512991,-5.619007813
2045054,2869,0,0,2.96308381,-5.568995644
2045064,2879,0,0,2.680256658,-5.713393967
2045074,2889,0,0,2.890031716,-5.676870976
2045074,2889,0,0,2.890031716,-5.676870976
2045094,2909,0,0,2.653138635,-5.826736658
2045104,2919,0,0,1.906347582,-6.688528116
2045114,2929,0,0,2.23123219,-6.468800307
2045125,2940,0,0,2.53955984,-6.397298739
2045135,2950,0,0,2.315041307,-6.498085836
2045145,2960,0,0,2.695779778,-6.597302378
2045155,2970,0,0,2.486506416,-6.813443047
2045165,2980,0,0,2.711700987,-6.944980866
2045175,2990,0,0,2.510712644,-6.821686611
2045195,3010,0,0,2.658895845,-6.308182552
2045206,3021,0,0,2.590800537,-6.191401492
2045216,3031,0,0,2.624719369,-6.07338093
2045226,3041,0,0,2.609098552,-6.02660655
2045236,3051,0,0,2.710538155,-5.962523742
2045246,3061,0,0,2.798949419,-6.144579919
2045256,3071,0,0,2.73893302,-6.459916838
2045266,3081,0,0,2.874675992,-6.607481445
2045277,3092,0,0,2.721175592,-6.554095577
2045287,3102,0,0,2.639899932,-6.46999739
2045297,3112,0,0,2.672988293,-6.390548561
2045307,3122,0,0,2.703719721,-6.398953434
2045307,3122,0,0,2.703719721,-6.398953434
