timestamp,,e_point,n_point,e_cur,n_cur,Cur_head,Head_ref,,Head_command,
1.65661E+12,7952.550049,0,0,1.776,1.127,101.0007858,0,0,0,0
1.65661E+12,8053.839844,0,0,1.776,1.125,101.1270981,0,0,0,0
1.65661E+12,8154.449951,0,0,1.776,1.123,101.3358612,0,0,0,0
1.65661E+12,8254.959961,0,0,1.776,1.123,101.4466705,0,0,0,0
1.65661E+12,8356.139893,0,0,1.775,1.121,101.707283,0,0,0,0
1.65661E+12,8456.599854,0,0,1.776,1.119,101.8476639,0,0,0,0
1.65661E+12,8557.290039,0,0,1.776,1.119,102.1143494,0,0,0,0
1.65661E+12,8657.809814,0,0,1.776,1.119,102.2867432,0,0,0,0
1.65661E+12,8758.219971,0,0,1.776,1.119,102.4729385,0,0,0,0
1.65661E+12,8859.429932,0,0,1.778,1.119,102.6435471,0,0,0,0
1.65661E+12,8959.929932,0,0,1.779,1.12,102.8349609,0,0,0,0
1.65661E+12,9060.26001,0,0,1.779,1.12,102.951683,0,0,0,0
1.65661E+12,9160.839844,0,0,1.779,1.119,103.1141129,0,0,0,0
1.65661E+12,9261.159912,0,0,1.779,1.119,103.2616348,0,0,0,0
1.65661E+12,9361.75,0,0,1.779,1.119,103.4106598,0,0,0,0
1.65661E+12,9462.179932,0,0,1.778,1.119,103.5353622,0,0,0,0
1.65661E+12,9562.51001,0,0,1.778,1.119,103.7269287,0,0,0,0
1.65661E+12,9662.919922,0,0,1.777,1.12,103.8560104,0,0,0,0
1.65661E+12,9764.889893,0,0,1.777,1.12,103.9870224,0,0,0,0
1.65661E+12,9865.329834,0,0,1.777,1.12,104.1485291,0,0,0,0
1.65661E+12,9965.709961,0,0,1.777,1.121,104.2715607,0,0,0,0
1.65661E+12,10066.68994,0,0,1.777,1.122,104.3999786,0,0,0,0
1.65661E+12,10166.95996,0,0,1.777,1.122,104.4880676,0,0,0,0
1.65661E+12,10267.78003,0,0,1.778,1.122,104.5508728,0,0,0,0
1.65661E+12,10368.19995,0,0,1.778,1.122,104.6328735,0,0,0,0
1.65661E+12,10468.48999,0,0,1.778,1.121,104.6103134,0,0,0,0
1.65661E+12,10568.82983,0,0,1.779,1.12,104.6249313,0,0,0,0
1.65661E+12,10671.59985,0,0,1.779,1.12,104.6579895,0,0,0,0
1.65661E+12,10772.58984,0,0,1.78,1.12,104.6852264,0,0,0,0
1.65661E+12,10873.66992,0,0,1.78,1.119,104.7357788,0,0,0,0
