timestamp,,roll_input,pitch_input,measure_roll,measure_pitch
1507628,0,0,0,3.200043052,-6.008592041
1507649,21,0,0,3.167837827,-6.027203433
1507659,31,0,0,3.179884385,-6.185488489
1507669,41,0,0,3.093078724,-5.932604408
1507669,41,0,0,3.093078724,-5.932604408
1507689,61,0,0,3.087189413,-5.992293768
1507710,82,0,0,3.08718023,-6.0259002
1507720,92,0,0,3.117461168,-5.975139915
1507730,102,0,0,3.07955657,-6.008108098
1507750,122,0,0,3.097838758,-5.960054693
1507750,122,0,0,3.097838758,-5.960054693
1507760,132,0,0,3.158296609,-6.03163975
1507770,142,0,0,3.148858987,-6.196675994
1507780,152,0,0,3.119940603,-6.108417993
1507780,152,0,0,3.119940603,-6.108417993
1507801,173,0,0,3.16608088,-6.030979485
1507811,183,0,0,3.17067875,-5.702220898
1507831,203,0,0,3.227737418,-5.710277647
1507841,213,0,0,3.234275615,-5.669720964
1507851,223,0,0,3.165190038,-5.713886868
1507862,234,0,0,3.236390095,-5.639054874
1507862,234,0,0,3.236390095,-5.639054874
1507882,254,0,0,3.173358738,-5.708177077
1507892,264,0,0,3.252706242,-5.526640156
1507912,284,0,0,3.083381194,-5.459849686
1507922,294,0,0,3.122953489,-5.433932369
1507922,294,0,0,3.122953489,-5.433932369
1507943,315,0,0,3.145011491,-5.580775223
1507953,325,0,0,3.131442968,-5.603987363
1507973,345,0,0,3.206385004,-5.702366002
1507983,355,0,0,3.170200146,-5.655071142
1507993,365,0,0,3.13905701,-5.706184768
1508003,375,0,0,3.147477204,-5.71462622
1508014,386,0,0,3.226639081,-5.833259718
1508024,396,0,0,3.210527405,-5.98005166
1508034,406,0,0,3.252523222,-5.890397046
1508044,416,0,0,3.192731528,-5.852604727
1508054,426,0,0,3.161958337,-5.919270326
1508064,436,0,0,3.265485529,-6.030115266
1508074,446,0,0,3.292292358,-5.914424791
1508084,456,0,0,3.219744729,-5.929749546
1508095,467,0,0,3.241288648,-6.044264437
1508095,467,0,0,3.241288648,-6.044264437
1508115,487,0,0,3.294378196,-6.06451802
1508125,497,0,0,3.361098475,-6.075797484
1508135,507,0,0,3.244957791,-5.864693106
1508145,517,0,0,3.214205525,-5.899849271
1508155,527,0,0,3.281792298,-5.962697716
1508166,538,0,0,3.286222311,-5.888490492
1508176,548,0,0,3.25189084,-5.814440615
1508186,558,0,0,3.210824722,-5.884678557
1508196,568,0,0,3.228070181,-5.917168976
1508206,578,0,0,3.260397152,-5.75988282
1508216,588,0,0,3.146876855,-5.798463647
1508226,598,0,0,3.103385078,-5.947031018
1508237,609,0,0,3.185687551,-5.944855827
1508257,629,0,0,3.267435547,-5.898335521
1508267,639,0,0,3.234084031,-5.95990261
1508277,649,0,0,3.220901453,-6.043099441
1508287,659,0,0,3.227838775,-6.034945693
1508297,669,0,0,3.277292882,-6.220779614
1508307,679,0,0,3.248480347,-6.149304189
1508318,690,0,0,3.216580843,-6.292476887
1508328,700,0,0,3.277861502,-6.30532799
1508338,710,0,0,3.217776838,-6.326628065
1508348,720,0,0,3.248894855,-6.309135998
1508358,730,0,0,3.209239557,-6.196122722
1508368,740,0,0,3.18922109,-6.131857215
1508378,750,0,0,3.163086357,-6.10898846
1508389,761,0,0,3.09546376,-6.079747887
1508399,771,0,0,3.22301661,-6.121189695
1508419,791,0,0,3.195140215,-5.969104854
1508429,801,0,0,3.120959609,-5.99718147
1508439,811,0,0,3.170013506,-5.995631734
1508449,821,0,0,3.162985325,-6.037430061
1508459,831,0,0,3.184761443,-5.978902932
1508470,842,0,0,3.131984499,-5.91606531
1508480,852,0,0,3.178946714,-5.993911475
1508490,862,0,0,3.215900252,-5.978280753
1508500,872,0,0,3.224475867,-6.002951827
1508510,882,0,0,3.162928289,-6.120883133
1508530,902,0,0,3.234776334,-6.093463895
1508530,902,0,0,3.234776334,-6.093463895
1508551,923,0,0,3.201978123,-6.17785355
1508561,933,0,0,3.300047929,-6.044628571
1508571,943,0,0,3.270495056,-6.128582946
1508581,953,0,0,3.280568553,-6.169902912
1508591,963,0,0,3.349835132,-6.248808337
1508601,973,0,0,3.32522086,-6.101588565
1508612,984,0,0,3.2791625,-5.997625076
1508622,994,0,0,3.322277467,-6.053658244
1508632,1004,0,0,3.313148146,-6.158841602
1508642,1014,0,0,3.384488041,-6.174410718
1508652,1024,0,0,3.359362229,-6.184141071
1508662,1034,0,0,3.406006059,-6.305216159
1508672,1044,0,0,3.324779661,-6.16960439
1508682,1054,0,0,3.335813213,-6.243540229
1508693,1065,0,0,3.432720853,-6.395075575
1508713,1085,0,0,3.31831799,-6.278374128
1508723,1095,0,0,3.38324828,-6.259102626
1508733,1105,0,0,3.360549245,-6.318067577
1508743,1115,0,0,3.371772335,-6.391358024
1508753,1125,0,0,3.369082878,-6.342774049
1508764,1136,0,0,3.388925328,-6.423924414
1508774,1146,0,0,3.374590545,-6.431539912
1508784,1156,0,0,3.303099654,-6.298025638
1508784,1156,0,0,3.303099654,-6.298025638
