timestamp,,roll_input,pitch_input,measure_roll,measure_pitch
2201621,0,0,0,3.20615834,-6.213567201
2201631,10,0,0,3.300566389,-6.298500622
2201641,20,0,0,3.197609996,-6.239421459
2201652,31,0,0,3.111356639,-6.178791775
2201662,41,0,0,3.147035524,-6.200113208
2201672,51,0,0,3.172655222,-6.184462653
2201682,61,0,0,3.039639664,-6.186626132
2201702,81,0,0,2.990245399,-6.12352579
2201712,91,0,0,3.153050749,-6.335881621
2201722,101,0,0,3.120392537,-6.274787686
2201732,111,0,0,3.086307199,-6.260784546
2201743,122,0,0,3.132732808,-6.22571897
2201753,132,0,0,3.12165238,-6.142758913
2201773,152,0,0,3.071814681,-6.222377263
2201783,162,0,0,3.154909304,-6.234441628
2201793,172,0,0,3.142720818,-6.333914679
2201793,172,0,0,3.142720818,-6.333914679
2201814,193,0,0,3.160906329,-6.243401899
2201814,193,0,0,3.160906329,-6.243401899
2201834,213,0,0,3.219786521,-6.222054506
2201844,223,0,0,3.185433982,-6.26687247
2201854,233,0,0,3.183269003,-6.234703299
2201864,243,0,0,3.161067583,-6.293825736
2201874,253,0,0,3.165943295,-6.235958627
2201884,263,0,0,3.152422237,-6.302855047
2201895,274,0,0,3.159253699,-6.294618908
2201905,284,0,0,3.186217149,-6.291487733
2201915,294,0,0,3.169852138,-6.250525959
2201915,294,0,0,3.169852138,-6.250525959
2201915,294,0,0,3.169852138,-6.250525959
2201945,324,0,0,3.202177963,-6.221984191
2201955,334,0,0,3.198029533,-6.094754614
2201966,345,0,0,3.271227443,-6.083360665
2201976,355,0,0,3.303197212,-6.022124184
2201996,375,0,0,3.305164111,-6.131716609
2201996,375,0,0,3.305164111,-6.131716609
2202016,395,0,0,3.184429258,-6.212715366
2202026,405,0,0,3.14387169,-6.239834141
2202037,416,0,0,3.167935775,-6.245626716
2202047,426,0,0,3.190676222,-6.360317989
2202057,436,0,0,3.144669207,-6.371749082
2202057,436,0,0,3.144669207,-6.371749082
2202077,456,0,0,3.08667167,-6.302029583
2202087,466,0,0,3.166312674,-6.264787051
2202097,476,0,0,3.119890927,-6.177246125
2202097,476,0,0,3.119890927,-6.177246125
2202118,497,0,0,3.125864892,-6.169414213
2202128,507,0,0,3.105336329,-6.201521758
2202138,517,0,0,3.070199564,-6.073822293
2202148,527,0,0,3.114343454,-6.078790246
2202148,527,0,0,3.114343454,-6.078790246
2202168,547,0,0,3.128600385,-6.201842197
2202178,557,0,0,3.133631365,-6.115589792
2202189,568,0,0,3.074342367,-6.016375517
2202199,578,0,0,3.093261925,-6.065407646
2202209,588,0,0,3.060420251,-6.04070608
2202219,598,0,0,2.997773231,-6.013864743
2202229,608,0,0,3.039319154,-6.036827405
2202239,618,0,0,3.093383735,-6.132608652
2202249,628,0,0,3.091331788,-6.100423445
2202259,638,0,0,3.09641705,-6.059385412
2202270,649,0,0,3.097583107,-6.091962285
2202280,659,0,0,3.140736369,-6.088520007
2202290,669,0,0,3.153509297,-6.081976628
2202300,679,0,0,3.15645858,-6.147378286
2202310,689,0,0,3.123366219,-6.166429011
2202320,699,0,0,3.132277936,-6.190402156
2202330,709,0,0,3.141829097,-6.231434157
2202341,720,0,0,3.148703148,-6.223229114
2202361,740,0,0,3.127132527,-6.315489659
2202371,750,0,0,3.102899461,-6.34168795
2202381,760,0,0,3.096710744,-6.243586339
2202381,760,0,0,3.096710744,-6.243586339
2202401,780,0,0,3.073020553,-6.113707805
2202412,791,0,0,3.214765531,-6.275409058
2202422,801,0,0,3.168949333,-6.110229661
2202432,811,0,0,3.145726667,-6.078237096
2202442,821,0,0,3.157514612,-6.085288642
2202452,831,0,0,3.217344546,-6.125138128
2202462,841,0,0,3.186199185,-6.176320582
2202472,851,0,0,3.096236726,-6.205556086
2202482,861,0,0,3.122834158,-6.089777295
2202493,872,0,0,3.081949941,-6.100528317
2202503,882,0,0,3.040811164,-6.067267569
2202513,892,0,0,3.044788236,-6.053591408
2202523,902,0,0,3.104630279,-6.108139098
2202533,912,0,0,3.069253661,-6.24968905
2202543,922,0,0,3.066457141,-6.201086052
2202553,932,0,0,3.110424968,-6.100984685
2202564,943,0,0,3.132927445,-6.075638454
2202574,953,0,0,3.160730046,-6.148134355
2202584,963,0,0,3.173039786,-6.178601594
2202594,973,0,0,3.176277049,-6.147792049
2202604,983,0,0,3.13819439,-6.190291502
2202614,993,0,0,3.113721766,-6.200265359
2202614,993,0,0,3.113721766,-6.200265359
2202634,1013,0,0,3.137304865,-6.190691467
2202645,1024,0,0,3.146752534,-6.361555173
2202665,1044,0,0,3.158751919,-6.216212625
2202675,1054,0,0,3.155130806,-6.168017275
2202685,1064,0,0,3.13209452,-6.037442737
2202695,1074,0,0,3.180552334,-6.207474132
2202705,1084,0,0,3.160160937,-6.12766325
2202716,1095,0,0,3.138983802,-6.046087413
2202726,1105,0,0,3.107851732,-6.037834521
2202736,1115,0,0,3.110164266,-6.146414761
2202746,1125,0,0,3.0708089,-6.206712215
2202766,1145,0,0,3.084726361,-6.17355203
2202787,1166,0,0,3.025072496,-6.183268536
2202797,1176,0,0,3.049202817,-6.176156912
2202807,1186,0,0,3.06851808,-6.183185547
2202827,1206,0,0,3.048139969,-6.210159869
2202837,1216,0,0,3.080379017,-6.158712515
2202847,1226,0,0,3.121862557,-6.165148491
2202868,1247,0,0,3.096728846,-6.174816434
2202878,1257,0,0,3.193804453,-6.206329528
2202888,1267,0,0,3.095703589,-6.052310006
2202898,1277,0,0,3.116395779,-5.961863561
2202908,1287,0,0,3.123360097,-5.953711028
2202918,1297,0,0,3.05656302,-5.957511918
2202928,1307,0,0,3.090360212,-5.988720772
2202939,1318,0,0,3.137468486,-6.126273336
2202949,1328,0,0,3.13723031,-6.126915278
2202959,1338,0,0,3.072593763,-6.119797493
2202969,1348,0,0,3.026718376,-6.091132541
2202979,1358,0,0,3.057014501,-6.041150873
2202989,1368,0,0,3.075673454,-6.106525659
2202999,1378,0,0,3.113411233,-6.047133725
2203009,1388,0,0,3.171851748,-6.07001598
2203020,1399,0,0,3.170209196,-6.054009708
2203030,1409,0,0,3.193498515,-5.968720032
2203040,1419,0,0,3.248424016,-5.985392066
2203050,1429,0,0,3.254498243,-5.944662272
2203050,1429,0,0,3.254498243,-5.944662272
2203070,1449,0,0,3.16798482,-5.987944187
2203080,1459,0,0,3.197755266,-5.920938509
2203080,1459,0,0,3.197755266,-5.920938509
2203101,1480,0,0,3.160065514,-6.01331166
2203111,1490,0,0,3.312919513,-6.347331773
2203121,1500,0,0,3.187338853,-6.152594721
2203131,1510,0,0,3.129200889,-6.147365608
2203141,1520,0,0,3.143115843,-6.098092061
2203151,1530,0,0,3.199493814,-6.0711407
2203162,1541,0,0,3.18288493,-6.103295338
2203172,1551,0,0,3.183821185,-6.121232337
2203182,1561,0,0,3.227516503,-6.102837816
2203192,1571,0,0,3.246856116,-6.101485997
2203202,1581,0,0,3.199020148,-6.138462288
2203222,1601,0,0,3.21918612,-6.252917959
2203232,1611,0,0,3.227634457,-6.277639775
2203243,1622,0,0,3.125139108,-6.042701891
2203253,1632,0,0,3.182265974,-5.957874842
2203263,1642,0,0,3.167730939,-5.895182467
2203273,1652,0,0,3.137702015,-5.978943258
2203283,1662,0,0,3.167240249,-6.100864831
2203293,1672,0,0,3.169309376,-6.166945369
2203303,1682,0,0,3.167627939,-6.20893803
2203314,1693,0,0,3.125549522,-6.187535556
2203314,1693,0,0,3.125549522,-6.187535556
2203334,1713,0,0,3.141864819,-6.203685306
2203344,1723,0,0,3.240658379,-6.251536938
2203354,1733,0,0,3.194406747,-6.160645374
2203364,1743,0,0,3.221141261,-6.20223295
2203374,1753,0,0,3.204812219,-6.219075922
2203384,1763,0,0,3.210244232,-6.17811404
2203395,1774,0,0,3.208496174,-6.145928389
