timestamp,,e_point,n_point,e_cur,n_cur,,,Cur_head,Head_ref,Head_command
1.65661E+12,0,0,0,0,0,0,0,0,0,0
1.65661E+12,108.5600586,0,0,0,0,0,0,0,0,0
1.65661E+12,208.9699707,0,0,1.178,1.171,0,0,93.92308044,0,0
1.65661E+12,309.7800293,0,0,1.178,1.171,0,0,93.86485291,0,0
1.65661E+12,410.920166,0,0,1.178,1.172,0,0.009887272,93.81178284,0,0
1.65661E+12,523.5400391,0,0,1.179,1.172,0.008879428,0,93.73278809,0,0
1.65661E+12,623.880127,0,0,1.179,1.172,0,0,93.62114716,0,0
1.65661E+12,724.3200684,0,0,1.18,1.173,0.009956199,0.009956199,93.53261566,0,0
1.65661E+12,824.8500977,0,0,1.18,1.173,0,0,93.47421265,0,0
1.65661E+12,925.630127,0,0,1.181,1.173,0.009922601,0,93.26245117,0,0
1.65661E+12,1025.929932,0,0,1.181,1.173,0,0,93.03194427,0,0
1.65661E+12,1126.290039,0,0,1.181,1.173,0,0,92.75745392,0,0
1.65661E+12,1226.699951,0,0,1.181,1.173,0,0,92.73988342,0,0
1.65661E+12,1327.060059,0,0,1.18,1.172,-0.009964118,-0.009964118,92.7687149,0,0
1.65661E+12,1427.410156,0,0,1.18,1.172,0,0,92.78372192,0,0
1.65661E+12,1527.800049,0,0,1.18,1.171,0,-0.009961162,92.7502594,0,0
1.65661E+12,1628.97998,0,0,1.18,1.171,0,0,92.72432709,0,0
1.65661E+12,1729.310059,0,0,1.181,1.17,0.009967101,-0.009967101,92.71463776,0,0
1.65661E+12,1830.070068,0,0,1.183,1.169,0.019849145,-0.009924572,92.69419098,0,0
1.65661E+12,1930.449951,0,0,1.183,1.169,0,0,92.57559967,0,0
1.65661E+12,2031.280029,0,0,1.184,1.17,0.009917676,0.009917676,92.51346588,0,0
1.65661E+12,2131.76001,0,0,1.185,1.171,0.009952231,0.009952231,92.40331268,0,0
1.65661E+12,2232.880127,0,0,1.185,1.171,0,0,92.22066498,0,0
1.65661E+12,2333.320068,0,0,1.185,1.171,0,0,92.16279602,0,0
1.65661E+12,2433.640137,0,0,1.185,1.171,0,0,92.13267517,0,0
1.65661E+12,2533.97998,0,0,1.185,1.171,0,0,92.16741943,0,0
1.65661E+12,2634.300049,0,0,1.184,1.171,-0.009968095,0,92.2026062,0,0
